,Price,KM,Brand
0,71500,126000,Renault Symbol 1.5 dCi Joy
1,60000,86000, Skoda Octavia 1.6 TDI  Elegance CR
2,89000,250000, Opel Insignia 2.0 CDTI Edition Elegance
3,50500,213028, Hyundai I20 1.2 Team
4,33500,136000, Hyundai Accent 1.3 LX Allegro
5,65500,260000, Opel Astra 1.3 CDTI Enjoy 111.Yıl
6,148500,54000, Volkswagen CC 1.4 TSI DSG
7,133500,160000, Volkswagen Passat 1.6 Comfortline
8,48500,181000, Fiat Albea Sole 1.3 Multijet Dynamic
9,61000,218000, Peugeot 301 1.6 BlueHDI Active
10,55750,296000, Toyota Corolla 1.6 Sol
11,238900,22000, Nissan X-Trail Diğer
